SMILES,SMILES_state,NLL
CN=c1sc(CC(=O)Nc2ccc(Cl)c(Cl)c2)c(O)n1C,1,22.23
Cc1onc(-c2ccccc2)c1COc1ccc(C(=O)NC(=N)N)cn1,1,25.68
CC(Oc1ccc(Oc2ccccc2)cc1)C(=O)NS(N)(=O)=O,1,26.47
CC(=O)c1ccc(C2(C)C=CC3(CC2)C2OOC(C)(O2)C3C)cc1O,1,50.52
O=C(NCN1CCC(c2ccccc2)CC1)c1ccc2ccccc2n1,1,27.06
COC(=O)CC1(c2ccccc2)NC(=O)NC1=O,1,21.79
Cc1cn(C(CC2CCCCC2)C(=O)N=c2[nH]ncs2)cn1,1,23.81
COc1ccc2nc(N3CCCN(C)CC3)nc(-c3ccc(C(=O)NCCN(C)C)c4ccccc34)c2n1,1,44.1
CCOCCCOc1sc(=NC(=O)C(C)=NC(=O)CCc2ccc(OC)c(OC)c2)[nH]c1OC,1,47.03
NC(=O)CCn1c(=O)c2c(c3cc(F)c(NC(=O)c4ccc(Cl)cn4)cc31)CCCCC2,1,34.74
CCCCNS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2cccnc2F)cc1,1,30.3
Cn1ccnc1C(CC(=O)O)c1ccc(OCc2cccc(-c3cccc(Cl)c3Cl)c2)cc1,1,28.46
Cc1[nH]c(=N)nc2c1cc(-c1cccs1)c(=O)n2C1CCC(OCCO)CC1,1,21.06
NC(=O)c1cc(Br)ccc1NC(=O)Cc1ccsc1,1,26.7
Fc1ccc(NC(=S)NCCC2CCCC(CN=C=S)C2)cc1Cl,1,30.3
CC(=O)c1ccc(NC(=O)Cn2nnc3ccccc3c2=O)cc1,1,22.14
Cc1ccc(S(=O)(=O)N2CCN(C(=O)CCn3c(O)ccc3O)CC2)c(C)c1,1,27.35
COc1ccc(C(CNC(=O)c2ccc(C)c(S(=O)(=O)Nc3ccc(C)cc3)c2)N(C)C)cc1,1,25.88
CCOC(=O)Cn1c(=O)c2[nH]c(Cc3ccc4c(c3)OCO4)nc2n(CCCOC)c1=O,1,29.85
Cc1cccc(CN2CC3(CCN(Cc4c(C)noc4C)CC3)C2)n1,1,26.1
COc1ccc(C#Cc2cc(=NC(=O)Nc3ccc(OC)cc3)nc[nH]2)cc1,1,29.51
CCc1cccc2c3cc(CN4CCCC4)ccc3n(CCCO)c12,1,34.89
CC(C)c1ccc2c(c1Nc1ccccc1C(=O)O)NC(C)(C)C(=O)C2(C)C,1,31.68
N=c1[nH]cnc(N2CCC(c3cc(-c4ccc(C(F)(F)F)cc4)cn3CCN3CCCC3)CC2)c1Cl,1,27.8
COc1cc(C2Nc3ccccc3C(=O)N2c2ccccc2)ccc1OCC(=O)N1CCOCC1,1,24.12
CC(Cn1cccn1)NCC(O)c1cccc(F)c1,1,24.07
CC(C)(C)OC(=O)NC(CCCCNC(=S)c1ccccc1)C(=O)NCC(=O)O,1,31.41
Cc1ccc(CC(=O)Nc2cccc(-c3ccncc3)c2)cc1C,1,26.19
C=C(C)C1CC=C(C)C(C)(C2C=C3C(OC(C)=O)C(O)C(C(C)CCOC(C)=O)=CC34OC24O)C1,1,62.88
COc1cccc(Sc2ccc(-n3nc(C)cc3C)cc2SC(=S)NC(C)c2ccccc2)c1,1,41.52
Cc1cc(Cl)ccc1C(O)c1nc(-c2ccccc2)c[nH]1,1,19.08
CCC1Oc2ccccc2N(CC(=O)NCc2ccc3c(c2)OCO3)C1=O,1,21.6
CCN(CC)c1nc(=Nc2ccc(C(F)(F)F)cc2)c2c([nH]1)CCN(c1ccc(Cl)cc1)CC2,1,26.61
COc1c(C)c(CO)cc(O)c1CC=C(C)C=CC(C)=CC=CC(C)=CC(=O)OC(C)C,1,40.99
CCCCCCCOC(=O)NC1CNC1=O,1,22.57
Cc1cc(C(C)CC=CCCC=CCC=CCCCC(=O)N(Cc2cccnc2)C(C)(C)C)c(C(=O)O)c(C)c1O,1,51.48
Cc1c(CN(c2ccccc2)C(O)c2cn(-c3cc(F)c(F)c(F)c3)c(=O)s2)[nH]c2cnccc12,1,48.91
CC1(C)CCC2(CO)CCC3(C)C(=CCC4C5(C)CC(O)C(C)(C)OC(=O)C5CCC43C)C2C1,1,31.28
O=C(O)c1ccccc1NC(=O)N1CCCc2ccccc21,1,22.95
CN1C(=O)CCc2cc(-c3cn(Cc4ccccc4)nc3-c3ccc(F)cc3)c(Cl)cc21,1,31.23
N=c1[nH]c2ccccc2n1-c1ccc(CC(=O)N2CCCC(n3cccn3)C2)c(F)c1,1,36.25
CN1CCN(c2ccc(S(=O)(=O)Oc3cccc(Cl)c3Cl)cc2)C1=O,1,24.2
COc1cc(OC)c2c(=Nc3cccc(F)c3F)c(C=NOCc3cc(C)ccc3C)c(C)[nH]c2c1,1,45.27
CN(C)C(=O)c1ccc(N=c2nc3sccc3n[nH]2)cc1,1,28.91
CCC1C(=O)NN=C1c1cccc(Oc2ccc(CCC(C)C(=O)O)cc2)c1,1,37.55
O=C(OC1CC2CC(C1)N2CCc1cccs1)c1c(-c2ccccc2)n(S(=O)(=O)c2ccccc2)c2ccncc12,1,47.38
O=C1OCCC1N1CCN(Cc2cccc(C(F)(F)F)c2)CC1,1,24.41
c1ccc2c3c(ccc2c1)-c1cc2ccccc2n1CC3,1,25.3
Cc1ccc2[nH]c(-c3ccc(OCCCN4CCCC4C)cc3)nc2c1C,1,24.88
CCOC(=O)C1C(=O)C(=O)Nc2c(c(C)nn2-c2ccc(F)cc2)C1c1cc(OC)c(OC)c(OC)c1,1,30.46
COC(=O)C(Cc1ccc(OC)c(OC)c1)NC(=O)C(NC(=O)COc1ccc2c(c1)oc(=O)c1ccccc12)C(C)C,1,35.65
NCc1ccc(F)c(C2=CCCCC2)c1,1,22.89
COc1ncc(N2CCc3ncnc(OC4CCN(C(=O)OC(C)C)C4)c3C2)cc1C#N,1,23.43
CC1=NS(=O)(=O)c2ccc(C)nc2N1CCCCN(C)CCCN,1,34.99
CCN1CCC(Cc2ccccc2)(c2nc(-c3ccccc3)c[nH]2)C1=O,1,28.48
Cc1cc2c(cc1Cc1ccc(N=C=S)cn1)C(C)(C)CCC2(C)C,1,30.11
CN1C2CCC1C(COc1ccc(Cl)c(Cl)c1)C2,1,22.8
N#Cc1ccc(NC(=O)c2cc(Sc3ccccc3Cl)cnc2Cl)cc1,1,27.04
CC(C)NC(=O)OCc1c(COS(N)(=O)=O)no[n+]1[O-],1,30.19
COc1ccc(-c2c[nH]c(=N)c(C(=O)NCC3Cc4ccccc4CO3)n2)cc1,1,32.2
O=C(O)c1ccc(N=Cc2ccc(C=Nc3ccc([N+](=O)[O-])cc3)cc2)c(O)c1,1,25.34
CC(C)CCNC(=O)C1(C)CCN1C(=O)c1cccs1,1,24.76
CC(=O)Nc1c(-c2ccccc2)nc2ccccn12,1,19.96
CCOC(=O)C(C#N)c1ccccc1NC,1,25.54
Cc1ccc(OCc2nc(C#N)c(NCCc3ccccc3)o2)cc1,1,20.02
COc1ccc(Cc2n[nH]c(=S)n2N)cc1,1,18.04
N=c1[nH]onc1-n1nnc(C(=O)NN=Cc2ccc(F)cc2)c1CSc1ccccc1,1,21.58
c1c2c(cc3nc(-c4[nH]nc5c4CNCC5)nnc13)OC1=NCCN1C2,1,44.79
C=CC(C)(C)c1c(O)c(CN(C)C2CCCCC2)c(O)c2c(=O)c(-c3ccc(OC)c(OC)c3)coc12,1,43.85
O=C(c1ccc2ccc(N3CCCCC3)n2c1)N1CCN(CC2CC2)CC1,1,29.95
CCCCSc1ncc2c(n1)-c1ccccc1N(Cc1ccccc1)S2(=O)=O,1,21.97
CC1CCCN(CCCN=c2[nH]c(=N)c3c(=Nc4cccc(-c5ccccc5)c4)[nH]n(C)c3[nH]2)C1,1,37.55
CCC1CN2CCc3cc(OC)c(OC)cc3C2C(O)C1CC1c2cc(OC)c(OC)cc2CCN1S(=O)(=O)c1ccccc1,1,29.89
CCOc1ccc(-n2c(CNC(=O)Cc3ccc(OC)cc3)nnc2SCC(=O)Nc2ccc3ccccc3c2)cc1,1,35.19
CC1CCCN(c2[nH]c(=N)[nH]c(=Nc3cc(C(F)(F)F)ccc3F)c2S(=O)(=O)NC(C)(C)C)C1,1,37.9
Cc1ccc(S(=O)(=O)n2[nH]c(OC(=O)c3ccc(F)cc3)cc2=N)cc1,1,20.34
O=C(Nc1ccccc1)C1CNC2c3cc(Cl)ccc3OCC2C1,1,30.08
O=C(NCc1cccc([N+](=O)[O-])c1)c1cnc(CNC(=O)C2COc3ccccc3O2)o1,1,36.72
CC(C)OC(=O)CSc1nnc(COc2ccccc2Cl)o1,1,23.29
COc1cnc(C(C)Nc2ccc(Cl)cc2-c2nc3c([nH]2)CCN(C(C)=O)C3)cn1,1,32.9
CCCCc1nc(SC)c(C(=O)O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OCCC(C)C)cc1,1,26.94
Cc1ccc(CSC(=Nc2ccccc2Cl)c2ccccc2O)cc1,1,33.48
COc1ccccc1CC(C)=NNC(=O)c1ccoc1C,1,27.47
O=C1CC(N2CCCCC2)Oc2c1ccc1ccccc21,1,23.6
CCN(CC)C(=O)NCc1cccn1C(C)C,1,26.59
CCCc1n[nH]c(=NC(=O)c2cc(-c3ccccc3Cl)nc3ccccc23)s1,1,27.22
CCN(Cc1noc(C)n1)Cc1nc2ccccc2c(=O)[nH]1,1,27.89
C=CCc1c(OC(C)C)cc(O)c2c(=O)cc(-c3ccc(O)c(O)c3)oc12,1,24.85
CC(c1ccccc1)n1ccnc2c(-c3cccc(OCC(=O)O)c3)c(-c3cccc(C(=O)C(C)(C)C)c3)nc1-2,1,49.84
Fc1ccc(CN=c2ccc3nnc(C4CCC(CCN5CCCc6c(Cl)cccc65)CC4)n3[nH]2)cc1F,1,46.38
CCCCCCCCCCCCCCn1c(Cn2cnc3cc(C(=O)O)ccc32)nc2ccccc21,1,30.24
CC(C)COC1C(CO)OC2COOC21,1,25.58
N=c1[nH]c2ccccc2cc1Cc1nc2cc(C#CCCO)ccc2[nH]1,1,39.23
CCC1CN(C(=O)CCCOc2ccc(Cl)cc2Cl)Cc2cccc(OC)c2O1,1,33.72
Cc1c2c(nn1CC(=O)NN)-c1cc(Br)ccc1S(=O)(=O)N2C,1,28.28
CCN=c1nc(N2CCN(C)CC2)[nH]c(=NCC)[nH]1,1,19.94
O=C(NCC1(C(F)(F)F)C(=O)Nc2ccccc21)c1cccc2ccccc12,1,27.75
COc1c(OS(=O)(=O)C(F)(F)F)cc2c3c1OC1(C)CCCC(C)(CC31)C(O)C2,1,50.58
Cc1ccc(CNC(=O)C2OC(n3cnc4c(=N)[nH]cnc43)C(O)C2O)cn1,1,24.32
COc1ccc(N=c2[nH]nc(-c3nc4ccccc4[nH]3)s2)cc1,1,22.35
CNC(=O)c1ccc(N2CCC(C(=O)O)(n3nc(C)c4ccccc43)CC2)cc1,1,31.19
COC(=O)c1cc(-c2ccc(F)c(F)c2)ccc1OC,1,23.36
O=c1nc(Cc2ccc(Cl)cc2)[nH]c2ccccc12,1,19.04
CCCC(=O)N1CC2OC(=O)N(Cc3ccncc3)C2C1,1,29.58
COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(OC3CCCCC3)cc2)cc1,1,26.35
O=C(CCC1CCCC1)N=c1[nH]ccs1,1,20.96
O=C(CN1CCC2CCC(c3nc4cnc(-n5ccnc5)cc4[nH]3)CC2C1)c1cccc(F)c1,1,45.45
CCc1cc(NC(=O)NC2CCN(Cc3ccc4c(c3)OCO4)CC2)cc(-c2nnnn2C)c1,1,23.93
CC(=O)Nc1ccc2nc(SCC(=O)N3CCOCC3)sc2c1,1,22.77
NCC1c2ccccc2CCc2c(Cl)ccc(Cl)c21,1,24.86
NC1C(OC2OC(CO)C(O)C(O)C2N)OC(CO)C(O)C1O,1,21.27
CCCCCCCCCC[n+]1cccc(C(=O)NC(Cc2ccc(O)cc2)C(=O)OC(C)(C)C)c1,1,33.89
Cc1cc(=NC(=NO)C(=O)Sc2ccccc2)[nH]o1,1,32.74
O=C(N=c1cccc[nH]1)NC(=S)CSc1ccc(Br)cc1,1,24.13
Cn1c(N)cc(=O)n(C)c1=O,1,17.12
C#CCOc1ccc(CC(NC(=O)C2(S(=O)(=O)c3ccccc3)Cc3ccccc3C2)C(=O)O)cc1,1,28.19
CSc1nc(-c2cc(-c3nncs3)ccn2)no1,1,36.62
NC(N)=NN=Cc1ccc(Oc2ccccc2F)cc1,1,22.31
CC(=O)NC(C)c1ccc(OC2CCN(c3ncccc3C(F)(F)F)C2)c(F)c1,1,23.78
CCCC1(C)C=Cc2ccc(Cl)cc2C(c2ccccc2)N1C,1,29.55
Cc1nn(CCCNS(=O)(=O)c2ccc(F)cc2)c(C)c1[N+](=O)[O-],1,24.96
CC(CNC(=O)CNc1cccc(S(=O)(=O)Nc2ccc(F)cc2)c1)N1CCOCC1,1,34.41
C=CCCc1c(O)c2c(oc1=O)CC1CCC(C)C2(C)C1(C)C,1,32.62
CCCCC(Sc1[nH]c(=Nc2cccc(F)c2)nc(-c2ccccc2)c1C#N)C(=O)O,1,30.58
Cc1c(N=c2nc[nH]c3cccc(-c4ccc(O)cc4F)c23)ccc2[nH]c(=O)sc12,1,40.13
O=C(NN=Cc1ccc2c(c1)OCCO2)c1ccccc1-n1cccc1,1,24.12
CCN(CC)S(=O)(=O)N1CCCc2ccccc21,1,22.62
CCc1nc(CN2CCN(C(=O)c3ccc4nnc(-c5ccc(Cl)cc5)n4c3)CC2)cs1,1,33.39
CSCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(Cc1cc(F)cc(F)c1)C(=O)C1CN(C(=O)CC(C)C)CN1,1,47.3
Cc1ccc(-c2nc(-c3ccccc3)nnc2C)cc1,1,24.04
COC(=O)C=CC(=O)Nc1ccc(-c2ccc(N3CCN(C)CC3)c([N+](=O)[O-])c2)cc1,1,30.15
C#Cc1c(F)cc2c(c1F)C1C(O)C1CC2,1,35.3
COCCN(Cc1ccccc1OC)c1cccnc1C1CCCN(C(=O)c2ccccc2F)C1,1,39.03
COc1ccccc1-c1c(O)ccc2c(-c3cccc(C(=O)O)c3)c(O)ccc12,1,30.62
Cc1cc(Oc2ccc(F)c(C(=O)N=c3cccc[nH]3)c2)ccc1F,1,31.6
CC(C)(C)NCC(=O)N1CCCC1C(=O)NCc1cccc(Br)c1,1,26.2
CS(=O)(=O)c1ccc(CSc2nc(-c3ccccc3)c[nH]2)cc1,1,22.33
Cn1nc(-c2ccc(Oc3ccccc3)cc2)cc1C(=O)NCc1cccc(NC(=O)c2ccc3ccccc3c2)c1,1,37.98
N=C(N)NCCCC(N)C(=O)NC1Cc2ccccc2N(Cc2cccc3c2ccn3-c2ccccc2)C1=O,1,37.82
Cc1ccc(C(=O)OCc2ccccc2)cc1S(=O)(=O)N1CCOCC1,1,21.67
CC1(O)CC(N)C(N)C1,1,20.22
CC1CC(C)CN(C(=O)CN(C)S(C)(=O)=O)C1,1,23.74
CC(CNCc1cccc(C[S+]([O-])C(c2ccccc2)c2ccccc2)c1)C(=O)N(C(C)C)C(C)C,1,43.61
CCCN(CC)C(=O)COC(=O)C1CCN(S(=O)(=O)c2ccc3c(c2)N(C(C)=O)C(C)C3)CC1,1,34.08
CN(C1CCCCC1)S(=O)(=O)c1ccc2c(c1)c(=O)c(C(=O)NC1CCCCC1)cn2C,1,23.72
CN(CCOCCO)Cc1cc(CCNC(=O)c2cccc(NC(=O)CC3CCCC3)c2)ccc1Cl,1,37.49
Cn1c(=O)c(-c2ccncc2F)cc2c[nH]c(=NCCc3ccc([N+](=O)[O-])s3)cc21,1,37.99
CCCN1CCN(C(=O)c2ccc(NC(=O)c3nc(-c4ccccc4)oc3C)cc2)CC1,1,29.74
O=S(=O)(N=c1[nH]c(-c2ccc(Cl)cc2)ns1)c1cccc(Cl)c1Cl,1,26.31
CCc1nnc(SCC(=O)Nc2cccc(N)c2)n1Cc1ccco1,1,31.84
O=C(C(c1ccccc1)N1CCN(c2ccccc2)CC1)N1CCCC1c1ccccc1,1,24.97
COc1ccccc1-c1cc2c(=NC3CC(O)C(CO)C3)[nH]c(-c3ccc(CO)nc3)cc2n1C(C)C,1,45.84
CC(C)C1=C(C(N)=O)SC2=NCCC(c3ccccc3Cl)N21,1,34.33
COC(=O)C(C)=Cc1cn(-c2ccc(O)cc2)ccc1=O,1,26.77
O=c1oc2cc3c(cc2cc1C=Cc1cccs1)OCO3,1,28.72
O=C(NNC(=O)c1c[nH]c2c(C(F)(F)F)cccc2c1=O)c1ccncc1,1,22.66
COc1ccc(C=NNC(=O)Cc2c(C)[nH][nH]c2=O)cc1,1,20.51
Cc1ccc2c(c1)c(CCC(=O)O)c(SSc1c(C(=O)NCc3ccc4ccccc4c3)c3ccccc3n1C)n2C,1,35.91
CCCCc1cc(CN2CCC(O)(CCCO)C(C)(C)C2)cc(C(C)CC)c1O,1,40.27
COc1ccc(Br)c(N=c2cc(C)[nH]c3ncnn23)c1,1,22.03
CCc1cc2c(ccc3nc(COC)sc32)nc1C,1,33.87
N#Cc1nc(-c2ccc(F)cc2)oc1NCC1CCCO1,1,19.65
COc1ccc(C=Cc2cc(=O)c(-c3cccs3)no2)cc1OC,1,31.43
CC(=O)OC1C(O)C(O)C23CCC4(C)c5cc(O)ccc5CCC4C4(C)CCC4(C)C2CCC13C,1,48.98
Nc1cccc(O)c1,1,15.96
N#CC(=Cc1cnn(-c2ccccc2)c1)C(=O)NCCc1ccccc1,1,21.88
COc1ccc(-n2c(-c3ccccc3)nc3ccccc3c2=O)cc1,1,18.29
CC(C)Oc1ccc(OCC2c3ccc(Oc4ccccc4)cc3CCN2C(=O)c2ccc(Cl)cc2)cc1,1,27.69
Cc1cc(=Nc2ccc(C#N)cc2)[nH]c(Oc2ccc(Nc3ccc(C(F)(F)F)cc3Cl)cc2)n1,1,31.63
CCCC(=O)OC1OC(CO)=CCC(O)C2(C)C(O)C(=C(C)C23CO3)C1=O,1,47.33
CC(=O)Nc1ccc(-n2nc3c(c2C)N(C)S(=O)(=O)c2ccccc2-3)cc1,1,22.45
CC(C)(N)CNCc1cccc(C2CCN(C(=O)c3ccc(-c4ccc(NC(=O)OC(C)(C)C)cc4)c(C(F)(F)F)c3)CC2)c1,1,52.68
Cc1cc(=NN=CC(C#N)C#N)nc(N2CCCCC2)[nH]1,1,28.85
COC(=O)C1CN(C2CCOCC2)CC12CCN(c1cc(-c3nc(C)n[nH]3)c(=N)[nH]n1)CC2,1,42.57
O=C(O)CSC(=O)NC1CCCC1,1,22.4
CCCCCC(C)COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC,1,26.46
Cc1ccc(NC(=O)Nc2cc(F)ccc2F)cc1,1,21.48
O=C(CN1C(=O)c2ccccc2C1=O)N1CCCCCC1,1,19.63
COc1ccccc1N1CCN(CC(O)COc2ccc(Br)c3ccccc23)CC1,1,23.3
N=c1[nH]cnc2c1c(-c1cccc(OC(F)(F)F)c1)cn2C1CC(CN2CCC2)C1,1,23.36
N#Cc1c(N)[nH]c(=N)[nH]c1=NCC(Cc1ccccc1)NC(=O)c1ccc(S(=O)O)cc1,1,35.88
Cn1ncc(CNCc2ccncc2)c1N1CCC(N2CCCC2)CC1,1,28.15
CCC=Cc1ccccc1O,1,20.02
O=C(NN=Cc1c(O)ccc2ccccc12)c1ccccc1,1,19.72
Cc1ccccc1N=c1[nH]c2c(C(N)=O)cccc2c2ccccc12,1,25.8
C=CCNC(C)C(=O)N=c1ccc([N+](=O)[O-])c[nH]1,1,31.95
CC=Cc1ccc(F)cc1O,1,22.59
COC(=O)Cc1c(O)cc(O)c2c(=O)c3cccc(CC=C(C)C)c3oc12,1,26.62
CC(C)NC(=O)CC1(CC(=O)Nc2cccnc2)CCCC1,1,26.99
CCCN(CCC)C(=O)c1cc(S(=O)(=O)N2CC(C)OC(C)C2)ccc1Cl,1,25.33
CC(C)c1cc2c(cc1-c1cccc(Cl)c1)CNC(=O)N2c1c(Cl)cccc1Cl,1,27.66
CC(CN(C)C)N1C(=O)c2cccc(N3CCC(C(=O)NCc4ccc(F)cc4Cl)CC3)c2C1=O,1,34.11
COc1cc2c(=N)cc(-c3ccccc3C(F)(F)F)[nH]c2cc1Cl,1,28.89
COc1ccc(N(CC(=O)NCCc2ccccc2)S(=O)(=O)c2ccc(C(C)=O)cc2)c(OC)c1,1,28.67
CCCCSC(=S)NNC(=O)c1ccc(N=C2SC(C(=O)OC)(C(F)(F)F)C(c3ccc(C)s3)N2c2cccc(C)c2)cc1,1,62.0
Cc1ccc(-c2ccc(NC(=O)C(=O)c3c[nH]c4ccc([N+](=O)[O-])cc34)cc2)o1,1,30.37
C#CCC(NC(=O)OCC)C(=O)OCC,1,30.05
FCCOc1ccccc1,1,18.74
COc1ccc(-c2nn(-c3ccccc3)c3[nH]c(=O)oc(=O)c23)cc1OC,1,26.46
COc1ccccc1N(C)c1nnc(-c2ccccc2)c2ncccc12,1,32.48
COc1cc(C(=O)C(=Cc2ccc(Cl)cc2)SC)cc(OC)c1OC,1,23.65
c1ccc2c(c1)c1ccccc1c1[nH]ccc21,1,22.09
Cc1ccc(C)c(S(=O)(=O)NCc2nc[nH]n2)c1,1,23.69
O=C(O)c1cccc(Cn2c(=O)[nH]c3ccc(-c4ccccc4)cc32)c1,1,25.56
CN(CC(=O)N=c1[nH]c(CC#N)cs1)CC(=O)Nc1ccccc1Cl,1,32.39
N=C1NC(c2ccsc2)Cc2ccccc21,1,21.07
O=C1CCC=CCC1C(=O)c1cn(S(=O)(=O)c2ccccc2)c2ccccc12,1,33.44
O=C1NN(c2ccc(C(=O)O)c(C(=O)O)c2)C(=O)C1=Cc1ccc(O)cc1,1,28.16
CC(C)(C)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,1,32.89
CCCCc1ccc(NC(=O)CN2CC(C)CC(C)C2)cc1,1,24.46
O=[N+]([O-])c1c[nH]ccc1=NS(=O)(=O)c1ccccc1,1,23.21
O=C(Nc1ccc(F)cc1)NC1CCC(Oc2ccc(C(F)(F)F)cn2)CC1,1,23.65
CC(=O)n1cc(C=CC(=O)Nc2ccccc2)c2cc(C)ccc21,1,31.81
O=C(O)C1Cc2ccccc2CN1C(=O)CCCCN1C(=O)c2ccccc2C1=O,1,25.04
COc1ccc(CCN=c2[nH]c(=NCCO)[nH]c3ccccc23)cc1OC,1,21.69
N=c1[nH]c2ccc(OCCCOc3ccc4c(c3)OCO4)cc2o1,1,27.08
COc1ccc(CC(CN2CCOCC2)c2cc(OC)c(OC)c(OC)c2)cc1OC,1,27.19
CCOC(=O)CC(=O)CSc1nnc(CNC(C)(C)C)n1Cc1ccccc1,1,30.58
CC(=O)NC1(C(=O)NC(Cc2ccccc2)C(=O)c2nnc(C(C)(C)C)o2)CCCCC1,1,27.27
COC(=O)N=c1[nH]c(C(CCc2ccccc2)NC(=O)OCc2ccccc2)c(C)s1,1,29.88
NS(=O)(=O)c1ccc(C(=O)Nc2ccc3oc(-c4ccccc4)nc3c2)cc1,1,24.5
C=CCn1c(=NC(=O)c2ccccc2OCC)sc2ccccc21,1,27.66
CCCCCCCCCCCC[S+]([O-])C12c3ccccc3C1C(C#N)(C#N)C(=N)C(C#N)C2c1ccc(OC(F)(F)F)cc1,1,45.16
COc1ccc(CN2CCC(O)(C(CC3CCCC3)C3CCCCC3)C2O)cc1,1,37.07
O=C(Nc1cccnc1)N1CCN(Cc2csc(-c3cccs3)n2)CC1,1,29.22
CCOc1ccc(OC)c(OC)c1C(O)=NO,1,22.88
COc1ccc(-c2cc(=O)c3c(O)c(CC=C(C)C)c(O)c(CCC(C)C)c3o2)cc1,1,24.25
C[N+](C)(C)CC1CCOC1,1,18.01
CC(C)CN(CCNC(=O)COc1ccc(NS(C)(=O)=O)cc1)CC(C)C,1,28.01
COc1ccc2c(C)[nH]c(=NC3CC3)nc2c1,1,23.65
COc1ccccc1C(=O)Nc1ccc(C#N)c(Cl)c1,1,24.11
CC(C)C(=O)NC1(c2nnn(CC3CCCCC3)n2)CCC2CN(CC3CCC3)CC21,1,39.31
CS(=O)(=O)c1cccc(-c2sc(=NC(=O)C(Cc3ccccc3)NC(=O)OCc3ccccc3)[nH]c2-c2ccccn2)c1,1,39.66
COc1ccc(NC(=O)C2Cc3ccc(O)cc3CCN2C)cc1,1,28.52
COc1cccc(-c2c(C)n(Cc3ncccc3C)c(=O)n(CC(=O)NCC3CC3)c2=O)c1F,1,26.63
CN(Cc1ccc(C(C)(C)C)cc1)S(=O)(=O)c1cc(C(=O)O)ccc1Cl,1,27.25
NC(=O)c1ccc2[nH]c(-c3ccccc3C(F)(F)F)nc2c1,1,22.2
CON=C(C(=O)OC)c1ccccc1CON=Cc1c(C)coc1CCOCc1ccc(C(F)(F)F)cc1,1,43.75
NC(=O)CCCNC(=O)c1cc(O)c2ccccc2c1,1,28.73
Cc1cccc(CSC(C)C(=O)NNC(=O)c2cccn2C)c1,1,32.41
CC(=O)CCn1c(-c2ccc(O)cc2)c(C(O)CO)c2cc(O)ccc21,1,35.89
CN(C)C(=O)C1(c2ccccc2)CCN(CCC2(c3ccc(Cl)c(Cl)c3)CCN(C(=O)Cc3cc4c(cc3[N+](=O)[O-])OCO4)C2)CC1,1,35.15
CCOC1COC2(OC1)c1cc(Cc3ccccc3C(F)(F)F)cc(F)c1OCC2(F)F,1,38.18
